BoxOfficeMojo,IMDB,OriginalOrder,FilmName,Classic,ImDb_A,Boxofficemojo_A,Year,InflatedBudget,TotalGross,InflatedGross,V15,Check_enj_label,Proportion_male,Appr_alphas,Enj_alphas,Enjoyment,Enjoyment_SD,ViewerCount_enj,Check_appr_label,Appreciation,Appr_SD,ViewerCount_appr,Crime,Drama,Western,Action,Biography,History,Adventure,Fantasy,Mystery,SciFi,Romance,Thriller,War,Family,Animation,Comedy,MovieImdbID,UserRank,SubDownloadsCnt,TotalWords,HarmVirtue,HarmVirtueratio,HarmVice,HarmViceratio,FairnessVirtue,FairnessVirtueratio,FairnessVice,FairnessViceratio,IngroupVirtue,IngroupVirtueratio,IngroupVice,IngroupViceratio,AuthorityVirtue,AuthorityVirtueratio,AuthorityVice,AuthorityViceratio,PurityVirtue,PurityVirtueratio,PurityVice,PurityViceratio,MoralityGeneral,MoralityGeneralratio
0,1,1,Shawshank_Classic,0.87,1,0,1994,"$38,705,260.07","$28,341,469.00","$43,878,557.13",Shawshank,Shawshank_enj,0.38,0.904,0.878,5.508250825,1.341304555,101,Shawshank_appr,6.2178217821782200,1.0692007851811200,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111161,bronze member,1124,4645,7,0.001507,8,0.001722,4,0.000861,0,0.00000,7,0.001507,1,0.000215,7,0.001507,0,0.000000,8,0.001722,1,0.000215,14,0.003014
0,1,2,Godfather_Classic,0.91,1,0,1972,"$32,966,408.46","$245,066,411.00","$1,346,493,234.29",Godfather,Godfather_enj,0.38,0.938,0.906,5.428571429,1.325478114,77,Godfather_appr,5.4473684210526300,1.3505034798632700,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442781,administrator,99,12610,40,0.003172,57,0.004520,0,0.000000,0,0.00000,16,0.001269,2,0.000159,136,0.010785,3,0.000238,10,0.000793,15,0.001190,59,0.004679
0,1,3,Godfather2_classic,0.74,1,0,1974,"$60,592,133.10","$47,542,841.00","$221,594,011.52",Godfather p 2,Godfather p 2_enj,0.42,0.914,0.897,5.254545455,1.242199755,55,Godfather p 2_appr,5.3518518518518500,1.3681257231736800,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71562,gold member,5510,2002,3,0.001499,10,0.004995,1,0.000500,0,0.00000,10,0.004995,0,0.000000,18,0.008991,1,0.000500,2,0.000999,3,0.001499,14,0.006993
0,1,4,PulpFiction_Classic,0.83,1,0,1994,"$1,238,568.32","$213,928,762.00","$331,206,734.76",Pulp fiction,Pulp fiction_enj,0.40,0.835,0.918,5.763052209,1.118373432,83,Pulp fiction_appr,4.9477911646586300,1.3748436005763200,83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110912,,456,16555,11,0.000664,54,0.003262,4,0.000242,0,0.00000,8,0.000483,1,0.000060,31,0.001873,3,0.000181,8,0.000483,10,0.000604,104,0.006282
0,1,5,GoodBadUgly_Classic,0.49,1,0,1966,"$8,501,702.93","$25,100,000.00","$177,827,286.32",GoodBadUgly,GoodBadUgly_enj,0.44,0.848,0.954,4.911111111,1.089600206,30,GoodBadUgly_appr,4.4408602150537600,1.0624468501710900,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60196,,140,4609,10,0.002170,16,0.003471,6,0.001302,0,0.00000,2,0.000434,4,0.000868,20,0.004339,4,0.000868,3,0.000651,17,0.003688,30,0.006509
1,1,6,DarkKnight_Classic,0.62,1,1,2008,"$199,632,816.44","$1,004,558,444.00","$1,084,015,305.14",The Dark Knight,The Dark Knight_enj,0.31,0.923,0.838,6.048758865,1.018027462,188,The Dark Knight_appr,5.3200354609929100,1.4839107005626800,188,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,468569,trusted,5524,12833,36,0.002805,48,0.003740,12,0.000935,0,0.00000,22,0.001714,4,0.000312,31,0.002416,3,0.000234,7,0.000545,3,0.000234,48,0.003740
0,1,7,12AngryMen_Classic,0.70,1,0,1957,"$2,857,039.35","$1,000,000.00","$8,162,969.58",12AngryMen,12AngryMen_enj,0.33,0.944,0.869,4.42,1.37,53,12AngryMen_appr,5.5512820512820500,1.3380384553494500,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50083,bronze member,12689,12738,9,0.000707,69,0.005417,17,0.001335,3,0.00024,2,0.000157,0,0.000000,46,0.003611,0,0.000000,5,0.000393,5,0.000393,35,0.002748
0,1,8,SchindlersList_Classic,0.84,1,0,1993,"$34,946,205.21","$96,045,248.00","$152,564,406.64",Schindler's List,Schindler's List_enj,0.32,0.976,0.834,4.23,1.74,78,Schindler's List_appr,6.3675213675213700,1.1390861677315300,78,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,108052,,734,3965,5,0.001261,6,0.001513,0,0.000000,0,0.00000,4,0.001009,1,0.000252,12,0.003026,1,0.000252,0,0.000000,0,0.000000,25,0.006305
0,1,9,LRReturnKing_Classic,0.63,1,1,2003,"$118,501,337.70","$1,119,929,521.00","$1,411,841,982.68",LOTR:Return of King,LOTR:Return of King_enj,0.41,0.943,0.897,5.78,1.20,113,LOTR:Return of King_appr,4.9940476190476200,1.5219331674816000,112,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,167260,,535,6393,23,0.003598,55,0.008603,2,0.000313,0,0.00000,4,0.000626,16,0.002503,24,0.003754,5,0.000782,0,0.000000,7,0.001095,13,0.002033
0,1,10,FightClub_Classic,0.85,1,0,1999,"$87,061,137.29","$100,853,753.00","$139,372,102.17",fightclub,fightclub_enj,0.35,0.835,0.906,5.82,1.26,112,fightclub_appr,5.6488095238095200,1.3143081744423500,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137523,silver member,4293,13451,18,0.001338,79,0.005873,6,0.000446,0,0.00000,21,0.001561,6,0.000446,22,0.001636,0,0.000000,9,0.000669,10,0.000743,32,0.002379
